,names,values
21366,Vladimir Vdovichenkov,0.001280997506840843
10010,Michael Fassbender,0.0012769756080880713
4253,Don Cheadle,0.0012706008758798803
2391,Jamie Lee Curtis,0.0012699707583341978
2894,Steve Zahn,0.001268596247468538
5355,Mark Mothersbaugh,0.0012665140266929912
6844,Christopher Nolan,0.0012664684596123215
32029,Kôichi Yamadera,0.0012653229911978362
5572,Jason Flemyng,0.001265045131699084
7697,Kristen Stewart,0.0012628758934186907
5567,Anna Paquin,0.0012620562664638756
2339,David Cronenberg,0.0012611245436617373
5198,J. Peter Robinson,0.0012597245418172185
900,Frank Marshall,0.0012555002340772052
9941,Christopher Lee,0.0012554264296122197
10132,Niv Fichman,0.0012517869592371482
6163,Lydia Dean Pilcher,0.0012493379404215994
6405,Jessica Lange,0.0012482022729939594
463,Néstor Almendros,0.0012449665691705051
2662,Sharon Stone,0.0012427436063879478
3205,Basil Poledouris,0.0012387739432452429
3195,Michael Kamen,0.0012356146812822634
4772,Jessica Biel,0.0012354624947046038
6879,Peter Berg,0.0012338812189142156
5367,Patricia Clarkson,0.0012319874881576876
4604,Gina Gershon,0.0012318153122746307
2898,John Frizzell,0.0012317733496099584
5153,Pascal Caucheteux,0.0012316650709908476
17286,Sadayuki Murai,0.001231302136812173
1458,Michel Legrand,0.0012258805994516387
8012,Patrick Stewart,0.0012248882337144123
16526,Christopher Lambert,0.0012237952082200304
3004,Mark Ruffalo,0.001219206999862308
3487,Salma Hayek,0.001218470158757285
3367,Brian Garfield,0.0012173087027521085
3712,John Carpenter,0.001216532438075422
1178,Meg Ryan,0.001214712978617552
5943,Danny Bensi,0.0012137780789682107
3514,José Luis Alcaine,0.0012118504367125726
2664,Hugh Grant,0.0012083554396475499
3165,Rosamund Pike,0.0012080182449502627
3384,David Koepp,0.0012073859420478582
8016,Heath Ledger,0.0012045141397017214
802,Laura Linney,0.0012044060243374284
128,Sven Nykvist,0.0012036982828312914
4530,Clint Mansell,0.0012035961889896617
3302,Sean Astin,0.0012035207556304179
4360,Brett Ratner,0.0012026103088502238
8001,Yildiray Gürgen,0.0012024576710479402
2492,Sam Shepard,0.0012016067600820314
6883,James Marsden,0.0012013494636302312
5448,Kathy Bates,0.0012001927672238186
2,Henry Mancini,0.0012001800871670769
4878,Nicholas Hoult,0.0011970228586840495
1840,Chris Columbus,0.001192769648779558
2461,Philip Seymour Hoffman,0.0011917480062819648
4568,Christine Vachon,0.0011885535911146706
656,Dave Grusin,0.001187205396444476
2366,Charles Roven,0.001186307775960656
1511,Lalo Schifrin,0.001183420655664056
9049,Klaus Badelt,0.0011819392924126734
3237,Anna Faris,0.0011810893758480556
4261,Roman Polanski,0.0011803151371542458
8170,Anvita Dutt Guptan,0.0011789856132153119
15643,Domenico Procacci,0.0011764151439603143
6013,Bill Nighy,0.0011744070499648766
15639,Andrea Guerra,0.0011721704397963323
3922,Chris Evans,0.0011718601850582528
5221,Renée Zellweger,0.0011691508308509897
83,Carlo Ponti,0.0011691286428497723
3003,Paul Rudd,0.0011686310226429293
10193,Andie MacDowell,0.001167814743800017
3335,Luke Wilson,0.0011649821471988878
6630,Lasse Hallström,0.0011619947431636818
12145,Romain Duris,0.0011616170913822097
7635,Spike Lee,0.001160211089424472
2896,Ashok Amritraj,0.0011597907080021373
6762,Abigail Breslin,0.0011547526959918215
4469,Mary Steenburgen,0.0011538498096862419
4799,Kristen Bell,0.0011493947763143429
8144,Sajid Nadiadwala,0.0011483918335315904
3784,Paddy Considine,0.0011468877485953342
1107,Richard Matheson,0.001145982886235391
3032,Patrick Wilson,0.001145667635217791
3509,Jonathan Rhys Meyers,0.0011451050928483301
34171,Aylin Tinel,0.0011436316490671256
2457,Quentin Tarantino,0.0011432801100866934
19477,Dhanush,0.001141863701292854
5227,Jeff Daniels,0.0011415901220304518
5477,Dakota Fanning,0.0011390963834044517
1325,Mark Strong,0.0011390756520329687
5247,Steve Carell,0.0011331872926420544
4849,Idris Elba,0.0011312632924219733
3515,Harry Gregson-Williams,0.0011299392785126365
4160,Ben Stiller,0.0011296277835630808
2612,Tilda Swinton,0.0011272220990934557
1730,Sam Raimi,0.0011262560916110874
5991,Todd Garner,0.0011258839152286644
11972,Roy Lee,0.0011221210066290088
3033,Sam Worthington,0.0011208642573172828
34328,Jung-woo Ha,0.0011195980562227843
19397,Saif Ali Khan,0.0011167108693533204
5112,Robert Elswit,0.0011162316370673553
